2026/04/02 03:26:23 [notice] 1#1: using the "epoll" event method
2026/04/02 03:26:23 [notice] 1#1: nginx/1.24.0
2026/04/02 03:26:23 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2026/04/02 03:26:23 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
2026/04/02 03:26:23 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2026/04/02 03:26:23 [notice] 1#1: start worker processes
2026/04/02 03:26:23 [notice] 1#1: start worker process 29
2026/04/02 03:26:23 [notice] 1#1: start worker process 30
2026/04/02 03:26:23 [notice] 1#1: start worker process 31
2026/04/02 03:26:23 [notice] 1#1: start worker process 32
2026/04/02 03:26:23 [notice] 1#1: start worker process 33
2026/04/02 03:26:23 [notice] 1#1: start worker process 34
2026/04/02 03:26:23 [notice] 1#1: start worker process 35
2026/04/02 03:26:23 [notice] 1#1: start worker process 36
2026/04/02 03:26:23 [notice] 1#1: start worker process 37
2026/04/02 03:26:23 [notice] 1#1: start worker process 38
2026/04/02 03:26:23 [notice] 1#1: start worker process 39
2026/04/02 03:26:23 [notice] 1#1: start worker process 40
2026/04/02 03:26:23 [notice] 1#1: start worker process 41
2026/04/02 03:26:23 [notice] 1#1: start worker process 42
2026/04/02 03:26:23 [notice] 1#1: start worker process 43
2026/04/02 03:26:23 [notice] 1#1: start worker process 44
